OriginPage	LinkToPage	LinkToPageStatus	LinkToPageTitle	OriginPageDate	OriginPageTitle
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/forms/contact-us-about-federal-facility-cleanups	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/brac-dashboard	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/fedfac/forms/contact-us-about-federal-facility-cleanups	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/air-topics	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/bedbugs	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/chemicals-and-toxics-topics	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/environmental-information-location	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/greener-living	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/health-topics	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/environmental-topics/land-waste-and-cleanup-topics	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/lead	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
https://www.epa.gov/mold	https://www.epa.gov/fedfac/brac-dashboard	Success	title1	2018-01-29 19:22	title2
